Index,Molecule,Functional,Multiplicity,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
32,C2H2,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,371.659742268,11.0,-40.47872481481029,True
32,C2H2,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,582.068642454,11.0,-40.542873908895686,True
33,C2H4,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,769.444310903,12.0,-77.26242470171182,True
33,C2H4,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,758.407368115,12.0,-77.3716735060116,True
34,CF*,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,800.179132982,13.0,-78.51900834621964,True
34,CF*,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,828.280607306,13.0,-78.63156013903242,True
35,CF2,pbe0,False,,,,,,,,,
35,CF2,b3lyp-g,False,,,,,,,,,
36,CF3,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3217.732192291,17.0,-237.5837378284824,True
36,CF3,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,2054.433275438,17.0,-237.8223659564311,True
37,CF4,pbe0,False,,,,,,,,,
37,CF4,b3lyp-g,False,,,,,,,,,
38,CO,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3360.51199742,16.0,-437.29886961774054,True
38,CO,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3473.463320121,15.0,-437.7140445910649,True
39,CO2,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,652.664420674,14.0,-113.23800355577907,True
39,CO2,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,719.648362248,14.0,-113.3701560314546,True
40,C3O,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1458.428017671,15.0,-188.47791837865026,True
40,C3O,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1318.469799752,15.0,-188.6822699521942,True
41,CN,pbe0,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1753.48849864,19.0,-189.25533600334933,True
41,CN,b3lyp-g,1,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1855.968889288,20.0,-189.48528183562541,True
42,HCN,pbe0,False,,,,,,,,,
42,HCN,b3lyp-g,False,,,,,,,,,
