Index,Molecule,Functional,Multiplicity,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
s_3,H2S,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,558.528838418,12,-399.2430955991785,True
p_9,PF5,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,3413.465844927,14,-840.402568835747,True
al_10,AlN,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1475.337795901,23,-296.88631010207587,True
si_7,SiF2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1250.885159542,13,-489.06745704640235,True
cl_3,ClF,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1394.443521435,17,-559.7663224192613,True
al_6,AlF,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,617.85621065,10,-342.1725158624821,True
na_6,NaOH,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,763.184593547,11,-237.9859959045372,True
p_4,PH2,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,570.031179021,11,-342.36218781886805,True
cl_13,HClO4,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,4841.517796763,32,-761.0694841699388,True
s_17,NSF,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1866.609612009,18,-552.5270112446034,True
p_14,LiP,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,818.944901651,15,-348.64636097130267,True
mg_4,MgF2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,946.868560311,10,-399.7054932118172,True
s_6,SF2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2390.693624638,24,-597.612127180746,True
si_2,SiH,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,504.025529122,12,-289.8486426869629,True
na_3,NaF,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,663.078899201,10,-262.0311641114451,True
p_1,P2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1469.254697807,16,-682.4254894632129,True
cl_6,ClO,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1800.219497366,26,-535.1200735008773,True
al_3,AlH2,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,606.261359939,13,-243.42916650844265,True
mg_1,MgH,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,620.905756594,11,-200.50680450548631,True
p_11,PO,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1462.903704851,22,-416.3766276946169,True
s_12,SO3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2210.281559089,16,-623.5978356597211,True
si_10,SiO,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,748.499657348,12,-364.56274706134116,True
si_4,SiH3,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,868.553909745,14,-291.08850668357843,True
al_8,AlF3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1459.489018159,11,-541.9465175213968,True
si_9,SiF4,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2053.947679408,12,-688.8514057709992,True
s_14,CS,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1166.037573482,19,-436.03797690021753,True
cl_10,FClO,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2297.080412817,24,-634.8791364763246,True
p_7,PF2,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1535.841849558,15,-540.8550502728662,True
na_5,NaO,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,584.617322643,12,-237.29544190159126,True
al_5,Al2H6,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1280.328495628,9,-488.1824531671728,True
s_7,SF3,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,3590.578651017,28,-697.4059862129411,True
si_3,SiH2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,614.111127844,12,-290.4698438614982,True
na_2,NaH,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,528.466190057,10,-162.74085512324044,True
cl_7,ClO2,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2563.880598892,26,-610.2641379262261,True
al_2,AlH,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,405.064139091,10,-242.8464075580208,True
p_10,PF6,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,18905.053359273,58,-940.0906569923579,True
s_13,S2O,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,3117.004249962,25,-871.2421426323019,True
si_11,SiO2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1269.986428048,13,-439.75973305500014,True
si_5,SiH4,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,471.66654424,9,-291.73402328368127,True
s_1,S2,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1559.62211824,16,-796.0895025728474,True
al_9,AlO,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1028.193956726,17,-317.4620958152989,True
p_16,N3P3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,4909.92984496,16,-1187.8515997448612,True
s_15,BeS,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,774.922357234,12,-412.72168308056723,True
mg_6,LiMg,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,754.969598273,16,-207.42860086430997,True
si_8,SiF3,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2025.840172765,14,-588.919824374069,True
na_4,Na2F2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1258.171653024,9,-524.1502742070718,True
p_6,PF,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1115.680120866,15,-440.979486851354,True
al_4,AlH3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,614.033756977,11,-244.05094261400671,True
cl_1,Cl2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1645.76328002,15,-920.0544184857561,True
cl_11,HClO2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2475.685152044,25,-610.8733202995554,True
