Index,Molecule,Functional,Multiplicity,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
cl_9,LiCl,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,732.710116711,11,-467.612503712094,True
s_4,H2S2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1334.548769252,14,-797.2984565131501,True
mg_3,MgF,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,671.287253273,11,-299.8062752276211,True
s_10,SF6,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,4334.498343146,14,-996.8226974052956,True
p_13,PN,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,898.524822298,13,-395.9011665009148,True
al_1,Al2,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1536.980151545,17,-484.52736101294954,True
cl_4,ClF3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,3355.465109498,22,-759.2682289920447,True
na_1,Na2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,815.977284984,10,-324.3734150588357,True
p_3,PH,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,529.307783023,11,-341.7350231865551,True
s_9,SF5,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,5401.598542423,23,-896.991632335103,True
al_11,LiAl,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,785.310328112,16,-249.7332395364445,True
s_2,HS,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,753.12058085,13,-398.5931117092395,True
p_8,PF3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2415.34385715,17,-640.7370954355489,True
si_6,SiF,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1526.781213403,15,-389.14309470758786,True
si_12,SiH3F,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1296.964814698,13,-391.006150736383,True
cl_12,HClO3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2981.970674431,22,-686.0191395111032,True
cl_2,HCl,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,516.245384203,11,-460.64435192896264,True
al_7,AlF2,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1171.762144694,13,-442.026059790611,True
p_5,PH3,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,542.516246532,10,-342.9971579035019,True
mg_5,MgO,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,812.901960173,14,-275.0794769422687,True
s_16,LiS,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,850.927950485,16,-405.5328065288963,True
p_15,PHF2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1503.617010021,14,-541.4732400415094,True
si_1,Si2,PBE,3,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1375.823795366,16,-578.5977464243263,True
cl_8,Cl2O,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2529.634419065,21,-995.1553415087953,True
s_5,SF,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1110.31109108,16,-497.78101781729083,True
s_11,SO2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1791.114755084,19,-548.4316062715858,True
p_12,PO2,PBE,2,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,1786.811186341,18,-491.60581159065316,True
mg_2,MgH2,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,455.672945621,9,-201.11489580846415,True
cl_5,ClF5,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,6283.538966878,26,-958.7531752983894,True
p_2,P4,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,2845.017080108,13,-1364.9562030169527,True
s_8,SF4,PBE,1,1e-06,4.9999999999999996e-05,1e-06,1.0.1,120,3677.489593683,17,-797.2346459527485,True
